MSFT (MICROSOFT CORP),46.26,-1.07,
Aug 11 2015 @ 11:59 ET,Bid,46.25,Ask,46.26,Size,38x6,Vol,8739000,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
15 Aug 37.50 (MSFT1514H37.5-P),0.0,0.0,8.30,9.05,0,0,15 Aug 37.50 (MSFT1514T37.5-P),0.0,0.0,0.0,0.38,0,0,
15 Aug 37.50 (MSFT1514H37.5-S),0.0,0.0,8.70,9.00,0,0,15 Aug 37.50 (MSFT1514T37.5-S),0.0,0.0,0.0,0.38,0,0,
15 Aug 37.50 (MSFT1514H37.5-X),0.0,0.0,8.55,9.30,0,0,15 Aug 37.50 (MSFT1514T37.5-X),0.0,0.0,0.0,0.38,0,0,
15 Aug 37.50 (MSFT1514H37.5-Y),0.0,0.0,8.70,8.95,0,0,15 Aug 37.50 (MSFT1514T37.5-Y),0.0,0.0,0.0,0.38,0,0,
15 Aug 38.00 (MSFT1514H38),8.34,0.0,8.05,8.45,0,2,15 Aug 38.00 (MSFT1514T38),0.15,0.0,0.0,0.08,0,20,
15 Aug 38.00 (MSFT1514H38-4),0.0,0.0,7.95,8.45,0,2,15 Aug 38.00 (MSFT1514T38-4),0.0,0.0,0.0,0.08,0,20,
15 Aug 38.00 (MSFT1514H38-8),0.0,0.0,7.80,8.45,0,2,15 Aug 38.00 (MSFT1514T38-8),0.0,0.0,0.0,0.08,0,20,
15 Aug 38.00 (MSFT1514H38-A),0.0,0.0,0.0,0.0,0,2,15 Aug 38.00 (MSFT1514T38-A),0.0,0.0,0.0,0.0,0,20,
15 Aug 38.00 (MSFT1514H38-B),0.0,0.0,8.25,8.45,0,2,15 Aug 38.00 (MSFT1514T38-B),0.0,0.0,0.0,0.08,0,20,
15 Aug 38.00 (MSFT1514H38-E),0.0,0.0,8.25,8.45,0,2,15 Aug 38.00 (MSFT1514T38-E),0.15,0.0,0.0,0.08,0,20,
15 Aug 38.00 (MSFT1514H38-I),8.34,0.0,6.35,8.45,0,2,15 Aug 38.00 (MSFT1514T38-I),0.0,0.0,0.0,0.08,0,20,
15 Aug 38.00 (MSFT1514H38-J),0.0,0.0,8.25,8.45,0,2,15 Aug 38.00 (MSFT1514T38-J),0.0,0.0,0.0,0.08,0,20,
15 Aug 38.00 (MSFT1514H38-O),8.35,0.0,8.00,8.45,0,2,15 Aug 38.00 (MSFT1514T38-O),0.0,0.0,0.0,0.08,0,20,
15 Aug 38.00 (MSFT1514H38-P),0.0,0.0,0.0,0.0,0,2,15 Aug 38.00 (MSFT1514T38-P),0.0,0.0,0.0,0.0,0,20,
15 Aug 38.00 (MSFT1514H38-S),0.0,0.0,7.80,8.50,0,2,15 Aug 38.00 (MSFT1514T38-S),0.0,0.0,0.0,0.08,0,20,
15 Aug 38.00 (MSFT1514H38-X),0.0,0.0,8.05,8.45,0,2,15 Aug 38.00 (MSFT1514T38-X),0.0,0.0,0.0,0.08,0,20,
15 Aug 38.00 (MSFT1514H38-Y),0.0,0.0,8.25,8.45,0,2,15 Aug 38.00 (MSFT1514T38-Y),0.0,0.0,0.0,0.08,0,20,
15 Aug 38.50 (MSFT1514H38.5),9.11,0.0,7.70,7.95,0,2,15 Aug 38.50 (MSFT1514T38.5),0.20,0.0,0.0,0.38,0,7,
15 Aug 38.50 (MSFT1514H38.5-4),0.0,0.0,7.70,7.95,0,2,15 Aug 38.50 (MSFT1514T38.5-4),0.0,0.0,0.0,0.38,0,7,
15 Aug 38.50 (MSFT1514H38.5-8),0.0,0.0,7.50,7.95,0,2,15 Aug 38.50 (MSFT1514T38.5-8),0.0,0.0,0.0,0.38,0,7,
15 Aug 38.50 (MSFT1514H38.5-A),0.0,0.0,7.45,8.00,0,2,15 Aug 38.50 (MSFT1514T38.5-A),0.0,0.0,0.0,0.0,0,7,
15 Aug 38.50 (MSFT1514H38.5-B),0.0,0.0,7.70,7.95,0,2,15 Aug 38.50 (MSFT1514T38.5-B),0.0,0.0,0.0,0.38,0,7,
15 Aug 38.50 (MSFT1514H38.5-E),0.0,0.0,7.70,7.95,0,2,15 Aug 38.50 (MSFT1514T38.5-E),0.0,0.0,0.0,0.38,0,7,
15 Aug 38.50 (MSFT1514H38.5-I),9.11,0.0,5.85,7.95,0,2,15 Aug 38.50 (MSFT1514T38.5-I),0.0,0.0,0.0,0.38,0,7,
